timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2022-01-01 00:00:00,3676.22000000,3730.00000000,3676.22000000,3723.04000000,9023.37400000,1640998799999,33430053.33568300,21702,4552.43630000,16864789.87679000,0
2022-01-01 01:00:00,3723.04000000,3748.45000000,3714.10000000,3724.89000000,8997.75690000,1641002399999,33572623.19046100,21666,4156.57500000,15508157.02443100,0
2022-01-01 02:00:00,3724.88000000,3738.47000000,3722.23000000,3728.32000000,5028.45310000,1641005999999,18757311.25554100,13886,2224.37010000,8297763.54296200,0
2022-01-01 03:00:00,3728.41000000,3737.00000000,3721.84000000,3723.96000000,3543.18530000,1641009599999,13211030.72053600,11475,1757.21160000,6552446.10494900,0
2022-01-01 04:00:00,3723.96000000,3728.07000000,3707.24000000,3708.21000000,6117.28200000,1641013199999,22732081.67761400,14222,3308.09330000,12291668.23039200,0
2022-01-01 05:00:00,3708.20000000,3765.27000000,3702.84000000,3735.61000000,9353.20560000,1641016799999,34969772.63518000,23848,5086.50580000,19008969.45469800,0
2022-01-01 06:00:00,3735.60000000,3742.67000000,3708.33000000,3711.92000000,5239.00260000,1641020399999,19525359.24383700,13746,2525.81650000,9414140.62440000,0
2022-01-01 07:00:00,3711.93000000,3724.93000000,3701.00000000,3715.31000000,6541.64990000,1641023999999,24286038.02186200,17918,3431.65610000,12740113.73068900,0
2022-01-01 08:00:00,3715.32000000,3733.84000000,3708.60000000,3721.40000000,4013.64030000,1641027599999,14934292.98591700,13856,2095.37610000,7796329.67756900,0
2022-01-01 09:00:00,3721.14000000,3730.00000000,3709.38000000,3718.67000000,4515.66360000,1641031199999,16803125.77454700,14268,2212.00930000,8229750.29480500,0
2022-01-01 10:00:00,3718.67000000,3731.88000000,3673.46000000,3691.39000000,10412.47370000,1641034799999,38510468.90181200,27897,4949.82770000,18313664.69421400,0
2022-01-01 11:00:00,3691.39000000,3712.19000000,3691.02000000,3693.37000000,4786.21730000,1641038399999,17719693.15008700,15708,2436.73350000,9022144.21804200,0
2022-01-01 12:00:00,3693.38000000,3718.24000000,3693.37000000,3716.28000000,6595.55300000,1641041999999,24450344.31964000,15801,3282.45840000,12169192.26058700,0
2022-01-01 13:00:00,3716.28000000,3724.93000000,3706.32000000,3710.03000000,5715.59720000,1641045599999,21239742.67824200,14338,2461.75570000,9146406.97911600,0
2022-01-01 14:00:00,3710.04000000,3713.68000000,3691.88000000,3697.61000000,5365.44740000,1641049199999,19880225.22492400,13840,2530.45190000,9376772.13856000,0
